节点50Ce-100Ag-dmac-trans-cv_Trend67__0__15-08-06-102.txt的数据

Standard Time	Epoch Time		Value
HH:MM:SS:000	(自1970-01-01的毫秒数)
15:12:32.060	1729149152060	0.6
15:12:32.615	1729149152615	0.62
15:12:33.170	1729149153170	0.62
15:12:33.723	1729149153723	0.6
15:12:34.277	1729149154277	0.64
15:12:34.832	1729149154832	0.66
15:12:35.386	1729149155386	0.67
15:12:35.941	1729149155941	0.68
15:12:36.495	1729149156495	0.7
15:12:37.049	1729149157049	0.69
15:12:37.602	1729149157602	0.75
15:12:38.158	1729149158158	0.73
15:12:38.712	1729149158712	0.78
15:12:39.267	1729149159267	0.78
15:12:39.821	1729149159821	0.79
15:12:40.375	1729149160375	0.85
15:12:40.929	1729149160929	0.82
15:12:41.483	1729149161483	0.86
15:12:42.037	1729149162037	0.88
15:12:42.591	1729149162591	0.9
15:12:43.146	1729149163146	0.93
15:12:43.701	1729149163701	0.95
15:12:44.255	1729149164255	1.01
15:12:44.811	1729149164811	1.01
15:12:45.364	1729149165364	1.04
15:12:45.918	1729149165918	1.03
15:12:46.475	1729149166475	1.11
15:12:47.026	1729149167026	1.15
15:12:47.581	1729149167581	1.18
15:12:48.137	1729149168137	1.13
15:12:48.692	1729149168692	1.26
15:12:49.246	1729149169246	1.26
15:12:49.800	1729149169800	1.3
15:12:50.354	1729149170354	1.32
15:12:50.907	1729149170907	1.36
15:12:51.460	1729149171460	1.42
15:12:52.015	1729149172015	1.41
15:12:52.570	1729149172570	1.49
15:12:53.127	1729149173127	1.48
15:12:53.680	1729149173680	1.58
15:12:54.235	1729149174235	1.63
15:12:54.790	1729149174790	1.72
15:12:55.344	1729149175344	1.71
15:12:55.899	1729149175899	1.79
15:12:56.453	1729149176453	1.82
15:12:57.008	1729149177008	1.9
15:12:57.562	1729149177562	1.98
15:12:58.118	1729149178118	2.02
15:12:58.673	1729149178673	2.13
15:12:59.228	1729149179228	2.19
15:12:59.783	1729149179783	2.25
15:13:00.336	1729149180336	2.35
